opponent_strength,venue,recent_form,star_player_available,shots_on_target,possession,result
high,home,good,yes,12,62,win
medium,home,good,yes,10,59,win
low,away,average,yes,8,55,win
high,away,poor,no,4,42,lose
medium,home,average,yes,9,53,win
high,home,average,no,7,48,lose
low,home,good,yes,11,64,win
medium,away,poor,no,3,40,lose
high,away,average,yes,6,50,lose
low,home,good,no,10,60,win
medium,home,poor,yes,5,46,lose
high,away,good,no,8,52,lose
low,away,average,yes,7,51,win
medium,away,good,yes,9,57,win
low,home,average,no,6,49,lose
high,home,poor,yes,5,43,lose
medium,away,good,no,8,54,win
low,home,good,yes,11,61,win
high,away,average,no,6,47,lose
medium,home,good,yes,10,58,win
