id,region,month,year,no_of_tourists
1,Chitwan,February,2025,44
2,Lalitpur,February,2025,36
3,Lalitpur,August,2025,29
4,Lumbini,February,2025,35
5,Ilam,October,2025,20
6,Nagarkot,January,2025,8
7,Kathmandu,October,2025,28
8,Nagarkot,April,2025,33
9,Mustang,December,2025,17
10,Chitwan,November,2025,9
11,Lumbini,October,2025,6
12,Kathmandu,June,2025,8
13,Lumbini,April,2025,18
14,Nagarkot,July,2025,31
15,Janakpur,July,2025,11
16,Chitwan,May,2025,50
17,Kathmandu,September,2025,30
18,Kathmandu,May,2025,49
19,Lalitpur,March,2025,43
20,Kathmandu,January,2025,27
21,Ilam,November,2025,5
22,Nagarkot,December,2025,27
23,Pokhara,September,2025,27
24,Chitwan,August,2025,46
25,Chitwan,November,2025,39
26,Kathmandu,October,2025,9
27,Janakpur,March,2025,21
28,Mustang,April,2025,14
29,Ilam,March,2025,21
30,Janakpur,October,2025,45
31,Janakpur,January,2025,31
32,Chitwan,September,2025,32
33,Chitwan,January,2025,25
34,Pokhara,November,2025,28
35,Lalitpur,April,2025,11
36,Janakpur,January,2025,8
37,Lumbini,August,2025,28
38,Pokhara,April,2025,24
39,Lumbini,January,2025,50
40,Lalitpur,November,2025,7
41,Mustang,January,2025,15
42,Mustang,April,2025,12
43,Nagarkot,April,2025,35
44,Chitwan,October,2025,44
45,Lalitpur,March,2025,31
46,Pokhara,April,2025,11
47,Ilam,November,2025,49
48,Chitwan,January,2025,30
49,Lumbini,November,2025,24
50,Chitwan,June,2025,45
51,Pokhara,May,2025,18
52,Pokhara,May,2025,33
53,Lalitpur,July,2025,18
54,Ilam,July,2025,49
55,Lumbini,April,2025,46
56,Mustang,April,2025,25
57,Kathmandu,December,2025,37
58,Nagarkot,March,2025,12
59,Mustang,October,2025,13
60,Ilam,April,2025,29
61,Lumbini,August,2025,27
62,Nagarkot,February,2025,44
63,Kathmandu,March,2025,50
64,Nagarkot,May,2025,8
65,Ilam,August,2025,31
66,Chitwan,April,2025,42
67,Kathmandu,September,2025,49
68,Janakpur,July,2025,7
69,Nagarkot,August,2025,39
70,Pokhara,November,2025,5
71,Ilam,December,2025,19
72,Chitwan,April,2025,6
73,Janakpur,March,2025,12
74,Kathmandu,April,2025,46
75,Pokhara,March,2025,44
76,Mustang,December,2025,18
77,Mustang,June,2025,36
78,Bhaktapur,August,2025,35
79,Nagarkot,February,2025,39
80,Ilam,March,2025,24
81,Lumbini,January,2025,21
82,Mustang,April,2025,33
83,Pokhara,November,2025,28
84,Nagarkot,April,2025,28
85,Lalitpur,October,2025,38
86,Nagarkot,January,2025,40
87,Bhaktapur,November,2025,45
88,Chitwan,November,2025,19
89,Nagarkot,November,2025,12
90,Janakpur,February,2025,46
91,Nagarkot,September,2025,12
92,Ilam,October,2025,48
93,Ilam,August,2025,9
94,Lumbini,December,2025,17
95,Pokhara,July,2025,11
96,Kathmandu,July,2025,19
97,Lumbini,June,2025,37
98,Bhaktapur,March,2025,46
99,Ilam,July,2025,43
100,Kathmandu,July,2025,16
101,Kathmandu,October,2025,38
102,Ilam,July,2025,40
103,Kathmandu,March,2025,44
104,Mustang,May,2025,23
105,Bhaktapur,January,2025,31
106,Bhaktapur,December,2025,34
107,Pokhara,March,2025,37
108,Bhaktapur,July,2025,46
109,Kathmandu,January,2025,18
110,Ilam,March,2025,41
111,Ilam,June,2025,5
112,Janakpur,March,2025,30
113,Chitwan,February,2025,47
114,Chitwan,November,2025,24
115,Ilam,November,2025,27
116,Lumbini,February,2025,46
117,Nagarkot,October,2025,35
118,Kathmandu,August,2025,40
119,Nagarkot,July,2025,42
120,Janakpur,April,2025,48
121,Janakpur,March,2025,10
122,Lumbini,August,2025,11
